48.08,58.03
64.97,59.14
38.56,76.79
77.60,51.59
51.96,48.22
39.32,56.25
32.99,60.02
52.72,61.26
11.88,59.94
66.27,48.52
53.64,49.96
37.65,95.98
41.92,37.58
24.25,37.65
62.83,26.84
78.40,40.26
47.14,45.45
38.51,20.81
53.00,35.40
38.48,39.23
0.00,68.46
57.24,46.75
72.04,31.50
9.18,65.95
46.89,48.80
50.62,24.00
86.46,58.77
55.49,69.82
59.76,41.90
53.27,42.68
46.10,66.66
57.01,47.60
59.41,69.36
49.10,74.48
28.12,35.44
93.82,81.52
55.52,71.34
46.65,0.00
61.88,43.88
29.46,93.58
35.14,71.94
41.69,57.70
44.51,50.86
51.04,40.68
40.91,36.73
49.95,29.74
47.72,78.31
17.47,58.05
75.79,69.41
66.57,83.82
