29.62,44.56
32.19,51.13
30.98,57.28
39.77,50.27
30.50,44.53
42.70,50.88
50.12,54.11
28.83,31.72
36.76,43.58
42.21,52.96
29.80,36.31
37.97,43.64
39.84,46.12
32.28,26.89
27.72,53.30
28.01,40.20
51.39,49.19
34.35,54.22
43.07,49.98
36.54,41.42
30.58,39.91
39.74,41.28
40.79,48.12
37.06,34.88
40.31,38.08
48.62,50.93
32.85,50.90
40.89,41.68
47.40,39.95
39.76,45.25
35.80,57.11
40.87,49.89
41.14,37.79
38.99,43.25
53.06,42.96
12.92,44.73
47.92,25.39
33.24,32.56
49.14,51.88
46.83,40.90
85.40,72.64
69.29,79.91
78.27,80.02
83.97,93.19
79.87,90.43
75.61,83.05
76.73,74.04
66.22,79.21
80.48,63.98
69.54,89.70
71.30,84.14
68.88,84.91
69.38,85.63
81.66,74.48
70.12,86.95
72.35,81.70
69.60,84.34
82.60,97.13
77.86,81.30
91.77,89.04
68.00,86.30
66.92,83.01
87.00,82.75
69.34,99.49
89.52,87.41
70.80,90.40
79.93,82.09
75.79,86.36
81.26,82.20
73.20,83.51
61.59,86.09
77.74,73.76
85.64,88.16
69.35,83.03
70.32,78.87
69.85,68.32
73.18,82.71
79.49,88.20
72.25,66.80
81.57,95.78
16.89,9.42
18.12,30.23
9.42,14.50
28.66,19.78
8.03,35.24
20.97,21.20
3.39,21.95
17.96,0.00
0.00,6.27
15.26,16.74
17.00,24.63
6.86,29.59
13.61,27.54
15.69,15.76
2.11,22.20
11.29,22.25
13.67,15.66
1.73,19.94
10.92,36.32
7.16,25.50
56.75,71.32
62.59,60.92
46.89,71.35
70.91,63.90
55.07,65.10
61.31,73.94
72.96,69.35
65.59,63.98
68.23,61.00
59.10,80.95
63.69,73.46
46.83,58.54
76.29,73.24
64.02,71.74
56.83,57.36
63.51,70.11
66.06,66.71
74.70,68.86
60.52,79.58
61.12,69.06
