14,99
9,31
13,67
18,69
14,72
1,16
5,40
13,79
9,51
4,61
19,3
20,9
6,4
14,23
17,7
3,27
8,66
18,37
17,1
1,71
10,99
6,20
10,54
19,2
2,91
19,8
7,70
9,98
10,95
11,4
2,18
14,17
3,50
11,61
14,65
10,42
11,14
16,90
19,87
4,48
1,54
17,74
8,34
13,35
15,14
16,100
6,86
10,26
18,73
13,59
14,88
1,20
16,36
5,17
14,22
10,71
13,52
3,79
16,67
2,47
19,52
20,44
6,53
14,78
7,70
3,53
9,94
10,75
17,85
17,68
6,17
3,79
9,88
11,33
5,82
16,21
0,42
12,83
17,66
1,13
1,17
13,36
5,10
14,6
19,79
19,6
10,27
2,59
14,12
7,53
1,38
3,68
14,75
16,28
14,50
15,14
18,84
19,93
1,40
7,76
44,58
44,51
33,56
63,41
54,55
58,56
45,48
26,50
59,49
32,48
56,44
23,60
62,46
27,47
22,57
67,51
30,58
37,50
59,49
56,57
29,54
46,58
27,40
59,56
60,43
27,53
64,59
46,48
27,57
30,59
56,46
40,50
69,43
25,43
58,47
29,60
68,58
59,46
63,48
47,40
24,57
29,48
43,55
68,42
51,56
49,53
36,42
48,42
29,47
24,51
39,100
30,88
44,84
25,87
21,98
33,100
22,96
38,90
34,90
41,84
36,98
45,83
46,89
37,84
21,95
33,84
37,82
29,94
29,90
27,99
45,96
40,80
49,83
31,86
30,91
44,96
44,90
35,87
21,99
32,93
89,4
37,10
65,7
99,1
22,7
95,9
46,5
65,4
87,9
56,3
83,8
30,7
54,6
42,5
92,9
100,8
48,0
94,5
65,2
73,7
40,6
33,7
37,1
62,9
88,3
96,41
100,33
98,76
99,18
96,80
97,17
95,50
96,40
96,77
96,41
96,70
98,80
99,53
99,55
96,57
97,13
98,46
99,62
96,53
96,37
96,58
99,60
99,78
96,43
99,49
100,90
